Entity,Code,Year,corruption_vdem__estimate_best__aggregate_method_average,time
Suriname,SUR,2022,0.238,2022
Sweden,SWE,2022,0.01,2022
Switzerland,CHE,2022,0.02,2022
Syria,SYR,2022,0.916,2022
Taiwan,TWN,2022,0.21,2022
Tajikistan,TJK,2022,0.841,2022
Tanzania,TZA,2022,0.146,2022
Thailand,THA,2022,0.679,2022
Togo,TGO,2022,0.715,2022
Trinidad and Tobago,TTO,2022,0.079,2022
Tunisia,TUN,2022,0.416,2022
Turkey,TUR,2022,0.85,2022
Turkmenistan,TKM,2022,0.914,2022
Uganda,UGA,2022,0.703,2022
Ukraine,UKR,2022,0.598,2022
United Arab Emirates,ARE,2022,0.113,2022
United Kingdom,GBR,2022,0.056,2022
United States,USA,2022,0.065,2022
Uruguay,URY,2022,0.086,2022
Uzbekistan,UZB,2022,0.825,2022
Vanuatu,VUT,2022,0.338,2022
Venezuela,VEN,2022,0.969,2022
Vietnam,VNM,2022,0.464,2022
Yemen,YEM,2022,0.911,2022
Zambia,ZMB,2022,0.334,2022
Zimbabwe,ZWE,2022,0.808,2022
